rank	ai_name	cost	valid	r	path
1	hasi666	67419890760	1	60	/home/ubuntu/icfpc2018/out/hasi666/FA068.nbt.gz
2	shioshiota19	71519164250	1	60	/home/ubuntu/icfpc2018/out/shioshiota19/FA068.nbt.gz
3	johniel9	75209512182	1	60	/home/ubuntu/icfpc2018/out/johniel9/FA068.nbt.gz
4	shioshiota16	75228952322	1	60	/home/ubuntu/icfpc2018/out/shioshiota16/FA068.nbt.gz
5	johniel8	75228952322	1	60	/home/ubuntu/icfpc2018/out/johniel8/FA068.nbt.gz
6	hasi23	140815070876	1	60	/home/ubuntu/icfpc2018/out/hasi23/FA068.nbt.gz
7	hasi21	217166502904	1	60	/home/ubuntu/icfpc2018/out/hasi21/FA068.nbt.gz
8	hasi10	223562242084	1	60	/home/ubuntu/icfpc2018/out/hasi10/FA068.nbt.gz
9	hasi22	226582008000	1	60	/home/ubuntu/icfpc2018/out/hasi22/FA068.nbt.gz
10	default	405657323920	1	60	/home/ubuntu/icfpc2018/out/default/FA068.nbt.gz
